Month,Merced,Modesto,Dummy
1975M01,21.67,19.96,0
1975M02,21.71,19.96,0
1975M03,21.87,20.07,0
1975M04,22.19,20.33,0
1975M05,22.46,20.54,0
1975M06,22.52,20.56,0
1975M07,22.56,20.56,0
1975M08,22.8,20.77,0
1975M09,23.08,21,0
1975M10,23.35,21.22,0
1975M11,23.54,21.37,0
1975M12,23.71,21.5,0
1976M01,23.94,21.68,0
1976M02,24.14,21.85,0
1976M03,24.33,22.02,0
1976M04,24.54,22.21,0
1976M05,24.69,22.38,0
1976M06,24.82,22.55,0
1976M07,24.98,22.77,0
1976M08,25.2,23.08,0
1976M09,25.41,23.41,0
1976M10,25.67,23.82,0
1976M11,26.02,24.36,0
1976M12,26.37,24.91,0
1977M01,26.74,25.49,0
1977M02,27.21,26.18,0
1977M03,27.72,26.91,0
1977M04,28.21,27.62,0
1977M05,28.77,28.38,0
1977M06,29.35,29.13,0
1977M07,29.8,29.73,0
1977M08,30.36,30.47,0
1977M09,30.81,31.09,0
1977M10,31.23,31.62,0
1977M11,31.73,32.2,0
1977M12,32.22,32.69,0
1978M01,32.75,33.18,0
1978M02,33.25,33.65,0
1978M03,33.64,33.96,0
1978M04,34.08,34.33,0
1978M05,34.69,34.87,0
1978M06,35.21,35.33,0
1978M07,35.56,35.63,0
1978M08,36,36.04,0
1978M09,36.46,36.48,0
1978M10,37.02,37.02,0
1978M11,37.46,37.46,0
1978M12,37.76,37.71,0
1979M01,38.09,37.97,0
1979M02,38.51,38.33,0
1979M03,38.97,38.73,0
1979M04,39.55,39.23,0
1979M05,40.21,39.83,0
1979M06,40.75,40.3,0
1979M07,41.11,40.6,0
1979M08,41.73,41.2,0
1979M09,42.39,41.84,0
1979M10,42.87,42.3,0
1979M11,43.27,42.72,0
1979M12,43.66,43.1,0
1980M01,44.04,43.44,0
1980M02,44.45,43.84,0
1980M03,44.85,44.21,0
1980M04,45.16,44.52,0
1980M05,45.35,44.72,0
1980M06,45.57,44.97,0
1980M07,45.95,45.37,0
1980M08,46.5,46,0
1980M09,46.84,46.44,0
1980M10,46.95,46.63,0
1980M11,46.95,46.71,0
1980M12,47.31,47.12,0
1981M01,48.01,47.84,0
1981M02,48.56,48.44,0
1981M03,48.84,48.75,0
1981M04,49.05,49,0
1981M05,49.52,49.5,0
1981M06,50.11,50.13,0
1981M07,50.45,50.5,0
1981M08,50.7,50.84,0
1981M09,50.97,51.17,0
1981M10,51.25,51.49,0
1981M11,51.33,51.61,0
1981M12,51.31,51.55,0
1982M01,51.41,51.53,0
1982M02,51.62,51.61,0
1982M03,51.82,51.61,0
1982M04,52.03,51.62,0
1982M05,52.08,51.48,0
1982M06,51.74,50.96,0
1982M07,51.23,50.27,0
1982M08,51.07,50,0
1982M09,51.12,49.96,0
1982M10,51.29,50.02,0
1982M11,51.54,50.18,0
1982M12,51.81,50.3,0
1983M01,51.98,50.28,0
1983M02,52.03,50.18,0
1983M03,51.99,49.94,0
1983M04,52,49.78,0
1983M05,52.05,49.69,0
1983M06,52.02,49.57,0
1983M07,51.94,49.42,0
1983M08,51.87,49.35,0
1983M09,51.73,49.23,0
1983M10,51.69,49.21,0
1983M11,51.7,49.27,0
1983M12,51.75,49.36,0
1984M01,51.9,49.52,0
1984M02,52.04,49.68,0
1984M03,52.08,49.69,0
1984M04,52.12,49.7,0
1984M05,52.19,49.71,0
1984M06,52.2,49.67,0
1984M07,52.14,49.54,0
1984M08,52.24,49.61,0
1984M09,52.38,49.69,0
1984M10,52.56,49.81,0
1984M11,52.69,49.89,0
1984M12,52.83,49.95,0
1985M01,53.06,50.05,0
1985M02,53.28,50.17,0
1985M03,53.35,50.09,0
1985M04,53.27,49.9,0
1985M05,53.27,49.83,0
1985M06,53.51,50,0
1985M07,53.72,50.18,0
1985M08,53.93,50.47,0
1985M09,54.05,50.71,0
1985M10,54.07,50.87,0
1985M11,54.05,51.04,0
1985M12,54.13,51.3,0
1986M01,54.25,51.61,0
1986M02,54.5,52.07,0
1986M03,54.72,52.48,0
1986M04,54.84,52.81,0
1986M05,55.03,53.2,0
1986M06,55.34,53.7,0
1986M07,55.49,54.03,0
1986M08,55.56,54.33,0
1986M09,55.53,54.52,0
1986M10,55.73,54.95,0
1986M11,56.06,55.53,0
1986M12,56.22,55.93,0
1987M01,56.43,56.35,0
1987M02,56.61,56.75,0
1987M03,56.74,57.06,0
1987M04,56.91,57.41,0
1987M05,57.08,57.78,0
1987M06,57.3,58.19,0
1987M07,57.32,58.39,0
1987M08,57.48,58.76,0
1987M09,57.76,59.26,0
1987M10,58.04,59.74,0
1987M11,58.29,60.21,0
1987M12,58.56,60.67,0
1988M01,58.83,61.12,0
1988M02,59.07,61.58,0
1988M03,59.29,61.94,0
1988M04,59.57,62.36,0
1988M05,59.96,62.91,0
1988M06,60.4,63.5,0
1988M07,60.72,63.97,0
1988M08,61.12,64.58,0
1988M09,61.59,65.24,0
1988M10,62.24,66.06,0
1988M11,62.87,66.9,0
1988M12,63.47,67.68,0
1989M01,64.05,68.4,0
1989M02,64.65,69.23,0
1989M03,65.44,70.24,0
1989M04,66.39,71.47,0
1989M05,67.36,72.81,0
1989M06,68.23,74.11,0
1989M07,69.13,75.48,0
1989M08,70.23,77.19,0
1989M09,71.14,78.69,0
1989M10,72.24,80.35,0
1989M11,73.48,82.12,0
1989M12,74.76,83.78,0
1990M01,75.88,85.15,0
1990M02,76.91,86.3,0
1990M03,78.13,87.41,0
1990M04,79.31,88.36,0
1990M05,80.37,89,0
1990M06,81.33,89.4,0
1990M07,82.19,89.63,0
1990M08,82.94,89.77,0
1990M09,83.34,89.54,0
1990M10,83.54,89.13,0
1990M11,83.59,88.67,0
1990M12,83.77,88.37,0
1991M01,84,88.13,0
1991M02,83.87,87.73,0
1991M03,83.82,87.37,0
1991M04,83.78,87.09,0
1991M05,83.79,86.91,0
1991M06,83.69,86.65,0
1991M07,83.37,86.16,0
1991M08,82.97,85.69,0
1991M09,82.73,85.39,0
1991M10,82.89,85.49,0
1991M11,82.99,85.6,0
1991M12,82.96,85.6,0
1992M01,83,85.65,0
1992M02,82.82,85.56,0
1992M03,82.39,85.14,0
1992M04,81.87,84.67,0
1992M05,81.38,84.21,0
1992M06,80.98,83.83,0
1992M07,80.65,83.51,0
1992M08,80.72,83.68,0
1992M09,80.61,83.58,0
1992M10,80.37,83.31,0
1992M11,80.28,83.23,0
1992M12,79.92,82.8,0
1993M01,79.31,82.03,0
1993M02,78.92,81.59,0
1993M03,78.77,81.38,0
1993M04,78.73,81.26,0
1993M05,78.62,81.07,0
1993M06,78.35,80.71,0
1993M07,77.9,80.13,0
1993M08,77.89,80.03,0
1993M09,77.83,79.84,0
1993M10,77.73,79.57,0
1993M11,77.69,79.36,0
1993M12,77.7,79.19,0
1994M01,77.63,78.9,0
1994M02,77.63,78.73,0
1994M03,77.69,78.63,0
1994M04,77.76,78.54,0
1994M05,77.7,78.34,0
1994M06,77.6,78.1,0
1994M07,77.41,77.79,0
1994M08,77.31,77.62,0
1994M09,77.12,77.38,0
1994M10,76.96,77.15,0
1994M11,76.82,76.99,0
1994M12,76.76,76.89,0
1995M01,76.82,76.88,0
1995M02,76.96,76.95,0
1995M03,76.6,76.51,0
1995M04,76.14,75.94,0
1995M05,75.95,75.67,0
1995M06,75.82,75.46,0
1995M07,75.8,75.35,0
1995M08,75.89,75.35,0
1995M09,75.57,75.01,0
1995M10,75.4,74.8,0
1995M11,75.44,74.84,0
1995M12,75.4,74.79,0
1996M01,75.42,74.81,0
1996M02,75.47,74.85,0
1996M03,75.38,74.77,0
1996M04,75.35,74.73,0
